Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
55,1,107.96299778619831,1.8156085073485353,195,132,57,2.2872761663196464,872.276713161044,0,4.9050731825873015,3.5699666480947796,4,3,25.67499255435185
32,1,80.18453793655296,1.9282200450586369,188,157,62,1.1853559625767869,1733.3709176402804,1,14.123821606170637,2.6302148696139787,3,3,37.69576025547754
19,1,93.87597530903894,1.7565449938047548,163,133,46,1.6441350757531275,386.58042205700144,1,27.07891793288218,2.7162845049126814,3,2,17.13146347969179
31,0,90.96675496768954,1.7514525567089831,194,164,71,1.6061916234779918,166.1004070191368,3,28.142350176933512,3.0654666448233776,3,3,16.044583243633266
38,1,84.93483226621129,1.815178155875553,194,150,66,1.497625650746336,653.6960864599652,0,7.579894144663283,1.7175480532810603,3,2,19.928818902729326
15,1,70.16101446395831,1.5649542804162642,168,135,68,0.8942017106787469,912.6457045172941,3,23.542225475438688,2.878423165908585,3,1,29.092102226449175
23,1,94.90166825344585,1.8443828019370736,201,152,51,2.0051040678876855,641.9146741169809,1,26.145504488896748,2.9296895881903415,3,2,10.297630869319796
52,1,137.4468589271122,1.8070426483107696,184,138,71,1.5336086725745641,696.9369216667023,1,31.713268917937462,3.4960887533597154,3,2,52.6125629724426
11,1,140.85007374666617,1.8271888085701864,206,146,51,1.6712965773544353,791.3703571277474,2,8.094255451889879,2.7354077406291246,4,3,43.21425947373338
45,1,108.16016729539658,1.9828092103701669,199,158,54,0.7734399725376427,515.4696455784758,0,18.830619876441954,3.7605534171078654,5,3,24.928613883112966
27,1,84.51963348218048,1.6908402264744393,190,136,63,1.3917104566926901,479.2906583580034,1,25.449375910492414,2.225867564883659,2,2,35.95080617530611
14,1,118.90892604175852,1.7964254666549981,184,159,46,1.605683680282642,370.1829955198283,1,28.018901171840902,3.39604150999304,4,2,29.044379136139494
16,1,70.76797063063925,1.8250267238756708,196,159,71,1.3979996059342807,1001.8611117656305,1,23.423884133450798,2.064694543633565,2,2,22.385559046613892
25,1,65.13698948005582,1.7395146497439637,163,128,66,1.4785217873576737,974.1588327523311,0,27.478674502959056,2.532977476712608,3,1,21.644611048918975
16,1,80.56215225462057,1.5676284033112784,186,172,72,1.6478840633728602,199.2530612593241,0,20.94458843556663,1.6917992939655473,2,1,35.950345004223855
23,0,94.98555824677773,1.9637279647091948,203,153,70,1.6851986965305112,564.019791662019,3,26.43811953434473,3.107941073811621,2,2,45.62471098784922
40,1,91.36562305031393,1.869596465473901,185,169,61,0.9153444740969146,75.59569992614593,1,21.916507239596974,2.740270019542855,4,1,29.393626131801085
26,0,109.2483241101542,1.7207383283170181,196,131,52,1.458101013827175,1083.8534739709771,3,17.625920956042936,3.758283394421098,3,3,40.60328990416815
31,1,102.35820967879846,2.09609499528624,167,138,63,1.2069130301196533,804.7120145999949,1,31.189536793649534,2.722075836456688,3,1,21.14016957931654
43,1,128.92485904347024,1.741543534403996,193,145,65,0.9348097668066454,400.38428511516895,0,18.173164441027673,2.2617221671154994,4,2,21.92287555746601
21,1,44.534696924472705,1.503676831019643,197,143,68,2.1277637447199425,451.1341328721784,1,19.13402296294133,2.3426455329453106,2,2,43.182369616810234
24,1,72.42819109348704,1.5785151925885663,191,169,47,1.732062878585533,925.3349166574146,2,24.140176381071623,3.4149364497067944,3,1,25.665109443310353
48,0,114.07708732855943,1.854686719620903,173,163,57,1.8407211782306874,512.6039593252506,2,21.183313071483315,3.5999823569255556,4,3,14.099538494736336
38,1,59.87460378024673,1.6632162248375915,191,133,69,2.0357485072988726,539.45788167389,1,3.758705384458061,2.970935643984661,3,3,10.533007426384803
24,0,82.8628839989601,1.5465735363326705,172,157,66,2.0720055954486853,264.4185299453142,1,12.291372501215296,3.4129664983155257,2,1,15.087471441173486
20,1,72.75847797453073,1.7006171566102612,177,173,52,1.3480759742113053,297.8051040881577,2,11.181552826032238,2.984322274610055,5,1,53.720623952414385
14,0,87.46258929364828,1.7714948993315884,176,131,62,1.9269606613288506,494.69711173666894,0,13.832910680158808,1.5588107550190924,4,2,30.160386402565383
17,1,60.44921628894956,1.757639907592644,169,133,50,0.4787600368194414,634.6305659098905,1,20.609897912085373,3.5474460715487255,2,3,46.922010913747265
39,1,67.97730408249075,1.5069844258863352,184,172,63,1.1934859816065546,1008.8143196887554,3,17.568681523191426,2.4430509260791764,4,3,37.615665237517554
34,1,72.51619014272195,1.4931450296473252,177,133,70,1.364331585067107,972.266233812261,1,10.886709073626637,2.775286722038855,3,1,23.016178754565537
49,0,102.98295670971439,1.596239004061698,178,166,64,1.4985980553169624,1295.858547763978,3,32.29561633382393,2.9007838685780936,2,2,25.08317733781075
13,1,73.1012603411055,2.0655941616810756,197,146,69,1.4728986465705023,447.11336695951434,1,22.5196588548232,2.6000404222523827,3,2,37.234283836606764
39,0,100.6613515830563,1.8802106174424866,188,120,67,1.8664331606008984,482.7799506757443,1,26.639858920101794,2.8052920561560613,3,1,18.054487068622038
16,1,71.47411570722046,1.6718982876041653,161,158,69,1.7704331637333524,704.0559446172363,0,28.245933625386773,2.411847097551036,3,2,27.63138772577745
34,1,77.56612517330974,1.8150042983687342,205,144,65,1.6893696222863557,696.5336868332805,1,13.58273966712029,3.893576759770595,4,2,40.49517194501888
14,0,63.69774673972282,1.6747269464757497,190,119,66,1.5246263070033894,840.5123851030821,1,20.93294703761343,1.8272665491598983,4,1,25.909682205532313
18,1,96.60563381577191,1.574476304243355,174,141,56,1.5878214891586793,377.3444085557844,2,25.416753871544298,2.3292640052097795,3,1,31.67542569164082
33,0,103.72645119585465,1.6187344583697005,192,158,54,2.1623633624771967,286.29639220281496,3,24.449151575125587,3.8199300131428,4,1,26.259088587329728
23,0,94.84479274873529,1.488908702395119,201,161,56,1.5245351590854632,754.3385925540956,2,31.714850380282037,1.8529837101377216,3,1,34.3709145717315
16,1,62.009919236918805,1.789805531414097,196,137,60,1.3223205984398818,817.4855887319142,0,26.003812284716727,3.1013765205163715,6,3,30.11253327543571
12,0,68.73605133912584,1.650973142113708,195,161,64,1.7915153870214628,358.8402904662945,1,23.699852653247916,3.6543855788457376,4,3,15.000621581786927
10,1,69.57205673700268,1.8993537678465084,194,151,60,0.9514554185986894,981.5093517401248,1,25.916562804065723,3.406259379506701,4,2,37.55051446706558
42,1,79.67121948950111,1.7114117062033718,173,157,48,1.3588706284664271,362.88471899085096,3,29.28234514573783,3.8347805846037284,3,3,35.14392476327423
24,0,76.9728238669332,1.8119945289517456,178,145,53,1.52853513012755,884.8345882312888,1,16.071827202128084,3.115335607765396,2,2,24.99059725304732
16,1,50.91478867331427,1.8705666393767455,201,137,66,1.3392399609927264,687.1535532597268,1,31.426741290740193,2.8198334391476454,3,1,37.30026728341809
54,1,75.85856709060052,1.7288647367992842,201,147,69,1.3663020470846152,462.98901838533226,0,33.83245211696573,3.1631585553559987,4,1,23.257063462409814
49,1,74.8282214011127,1.4582413241722905,180,146,69,1.4020068754534967,1297.0885691535182,2,19.582227804624548,2.687543171321338,3,3,22.41483000548557
61,1,52.69988396577059,1.664809752817292,198,141,65,1.310720170934886,577.6757030267822,1,25.100366138141148,1.5798741821599025,2,3,23.97675803689776
56,1,75.5833080349123,1.4899100197059603,177,147,48,1.3532621973816548,729.7197471068805,2,23.134853265734257,2.5281579713646067,3,1,13.616762104841118
22,1,114.73782220258357,1.6049813749006547,169,157,55,1.1585236871216578,504.7928896601062,1,28.753550405208358,1.7876024675405313,4,2,30.205344745622583
37,1,60.20545023800819,1.7174960661713972,200,136,61,1.5289266637705845,1106.6709706094236,0,26.258011221296776,3.5802807318589,2,2,23.116438203990064
28,1,89.85816159983105,1.953175891500681,160,126,65,0.9565142297498377,832.4726458814373,1,30.828865029584126,2.965561709713274,3,3,18.094384857306213
16,1,54.529242009269055,1.7358659390190798,199,150,51,1.5278564954104725,604.6922435462777,2,21.71377857284654,2.8115933253730914,3,3,17.418299924788695
57,1,94.32021159618873,1.7925273766430014,178,131,62,2.201322642024559,557.8299913753617,1,25.87098289814052,2.9619260352473873,3,1,18.939012711275126
17,1,87.81687698187434,1.5416369775445113,177,151,65,2.198174402610818,984.7481683772576,0,9.552825964565699,3.0827472383174594,2,2,21.20823596734489
17,1,87.43886613903261,1.5669534493169892,199,125,66,0.7683394618018856,541.7118896146932,3,26.895946517572774,3.749009652421837,3,2,30.835282089037367
32,1,89.40327954863997,1.7943410220156097,185,171,63,1.7096094962203467,536.9493884190949,3,31.420506649966228,1.7005159135300951,2,2,47.20059131968896
28,1,98.27013443630044,1.8655289118339873,176,176,60,1.6308377937546574,1381.5743207048906,0,4.551017239922643,3.6533536558154265,5,1,18.20436494757228
23,1,106.28717056469884,1.5323525323022356,183,122,64,1.2972648608013881,370.2419623080515,1,30.31156460002215,2.786086627689994,2,3,31.253088163156395
54,1,99.80288367274865,1.8549151313252075,172,154,69,0.7021713888424754,469.48364378966414,1,30.2012466010357,2.7071062659099225,2,3,28.85691823767905
32,1,79.85887615954883,1.6750765945466322,200,141,65,1.6952501746085846,991.5286315751723,3,16.754216659873094,2.9395352375594213,2,2,9.711804120727153
51,1,67.30184322077488,1.8516927064611242,193,135,65,1.9074677631553607,687.279337481358,2,22.325798251629315,1.9165846700574085,3,2,22.46425614084322
9,0,63.05954365633474,1.6947859530459248,191,163,51,1.6779868238305027,1433.942881933629,1,27.48640460314805,2.6466059150790313,3,2,20.443495766648404
25,1,82.26826982989175,1.9797474171141831,208,130,65,2.2745020559783478,353.3259193209303,1,27.640533758723876,2.8126216564825,2,1,39.274448357296315
43,0,72.76125166592512,1.5306984734670754,203,158,70,2.127464970599828,369.7484662180441,2,22.787460730919797,2.9755649503927355,2,2,13.130996560218147
32,0,100.53271161137786,1.7083710062221222,200,139,51,2.089618953553641,662.9098479667323,0,27.44506412473205,2.816982245644353,2,1,45.542495881843614
20,0,74.47855446851241,1.5481642582147879,195,161,60,1.8590612772866058,233.02356524099883,1,22.304852498654853,2.5363403628201775,2,2,23.279262042164905
16,0,65.76017476247124,1.6839807309291486,192,147,57,1.13934251875156,537.5332320787456,2,7.703522422770421,3.5557429292260334,3,3,35.36078949160675
31,1,66.97849496864782,1.728497674061043,199,164,54,1.8456291847715018,799.0401243378271,1,26.310830421489452,3.1086930835699977,3,3,32.61564473345496
46,0,72.7821619689846,1.4186058290337966,182,129,57,0.9367442198020681,1073.153687166482,0,24.56395393629684,3.086681457516896,5,2,17.44158938581884
43,1,113.57938792100077,1.8202611423455597,172,147,68,0.7621776742809824,398.06218473504725,0,5.423949228076053,2.609328041044395,3,3,47.350137783954956
27,1,91.0820405835091,2.003307574529303,196,133,48,1.619725416596261,1046.818129661024,1,31.461918306630306,1.7070788609793521,3,2,23.034174873455232
54,1,100.8828678139055,1.7690772658115408,182,157,63,2.1359029025378273,581.1644521347008,1,24.248907132969773,3.6165840749764286,3,1,29.101030224405235
24,0,72.47583798571898,1.7726612293508126,171,146,51,1.8268585711588077,505.4349636702408,1,13.561082471400088,2.3862983331913883,5,3,44.83036133236466
44,0,114.10246456392713,1.6836691618345352,199,169,59,1.1873224325665142,667.1056302140611,2,28.339011697007646,2.5404996408872087,3,2,39.524307451565456
48,0,92.59406688628017,1.7680774314449728,170,132,66,0.9286190246034902,360.8242729299128,2,24.52327557022066,3.1181623436536534,3,2,43.40725148903926
12,1,81.52742615805201,1.6512515359739055,184,168,66,1.2333124709872731,460.46220707395065,0,29.724080129524076,2.9788845175118586,3,2,33.217783591679584
33,1,103.66703640069647,1.7841662970603815,191,138,70,1.7642518512776677,1402.9967011550823,3,14.918836776678338,2.5723235066417067,2,3,30.7600146781407
37,1,137.67926406621643,1.7314759958463701,193,167,69,1.2425849516787535,323.96016115465613,3,27.52504206301386,2.6475973520553673,4,2,22.486810412940756
17,1,91.65341403818113,1.6396494919908151,169,167,52,1.5994432543641912,209.52114644750742,3,8.365830260893649,2.880975445004446,4,3,41.71610731497544
42,0,85.22813735689007,1.5668093360516546,197,128,58,1.0271669573053939,241.16129325832975,0,31.53573499547746,3.2542761049718374,3,2,30.18249388601999
37,1,97.4753339711098,1.710044852139899,172,161,71,1.2895770936729472,783.500858566814,0,18.542823630684982,2.7002135181140563,2,1,27.742251070435007
24,1,86.49472164642513,1.6662000459799224,199,178,68,1.0205544645453697,499.51016430926893,2,14.202475943097332,2.3119478010556533,4,2,41.55635285136353
24,1,88.64665691380421,1.740526343299229,203,146,70,1.1239265800755573,605.297778707473,3,27.32730316919956,1.9830376844204844,3,3,22.262313489989488
31,1,100.33518452506082,1.6719380913290334,192,128,54,1.0625069210623939,726.0800194029584,1,22.470153030354137,3.027146278393637,3,3,20.279632853879683
53,1,34.49314725003663,1.6801847995621966,167,155,49,1.3325864241858787,1294.1200216393147,1,34.796497858973325,2.4925361471485052,3,2,50.26713508523861
26,1,93.42901439496437,1.7432037374426117,176,140,58,1.8797247319717556,427.1057427759439,3,33.69351346718162,3.280373245200737,3,1,27.02493012338916
66,1,81.20260191048574,1.5187228596333109,180,150,57,1.1461690948893992,179.75157312278208,0,17.274116612975334,3.3744519393701147,3,3,24.6178378338052
22,1,78.3512511723997,1.7720955488966361,171,144,70,2.2560539299347835,222.91026987783425,0,26.147174845467568,3.4282148973322486,4,2,28.6821640609411
50,0,106.77006420717113,1.5093721407046206,169,154,55,1.4610904732587278,598.3889581599933,1,5.1994505000457405,2.944110007912398,3,3,20.062013574192424
29,1,86.9268082479911,1.837862710441443,179,139,72,1.4735595050967616,283.696312736181,0,8.523295720370903,3.362029631450341,4,3,21.114737564090376
16,1,84.05308672456773,1.9684248865843577,195,160,70,1.5976553947893286,1546.6022477742154,0,13.551007070357104,2.6395414105279276,4,3,16.62253801742979
20,1,72.33377120104304,1.577295459223203,162,142,66,0.9940212183460392,660.7711805906872,1,28.254080837421434,2.2203926892036394,3,2,26.46398432718795
24,1,103.63276433047794,1.6716363167959571,186,169,72,2.069297882558157,694.7130392295455,0,25.62135335497545,2.1784656715854007,4,2,16.48983471999487
23,1,109.49832785786248,1.8495086255974331,189,178,54,2.1096990216055556,615.2569396619724,2,28.72395865110948,2.8810033600170426,2,1,31.336315661852346
13,1,111.43664361742736,1.7688419268400832,175,164,74,1.0962711911797167,315.2805741342904,3,20.790112311846137,2.0751309662791733,5,2,27.449867086244012
50,1,104.99065142718999,2.0124754003301173,173,155,44,1.1236889599524826,1045.3319428888167,1,25.41295909836898,3.674088773904271,4,2,27.423462730910867
23,1,95.93130760832186,1.8763527996315257,165,139,69,1.6498687588146184,226.8939471003959,3,16.63931737806582,2.066675545151152,4,3,55.17054096032318
26,1,100.37861228684758,1.5170799688258156,190,163,68,1.7740057183028792,717.1933787421615,1,22.331420448793768,2.7377743908888483,4,2,55.37689343825488
15,1,135.14399422365915,1.476098657045274,165,142,50,1.5983809771175685,362.543924511432,2,10.587106195417624,3.5084411273548417,2,1,20.626806952491087
58,1,69.77252994025011,1.8012426694034502,168,125,54,1.1980203672539822,825.9091234776797,1,10.022839733713663,2.5882840715261275,2,2,25.13745128517642
43,1,82.02854914166129,1.8759552622601803,198,161,57,1.0986986228936804,358.9461321930771,2,6.869955784025627,3.4260373475948174,5,2,16.327743217825592
39,1,117.2963829594932,1.9333994242703245,197,160,68,0.5131380662592802,613.9513668072354,1,22.43761920867984,2.591545113096065,3,2,53.45405651953999
29,0,86.18369892751215,1.643526382082763,182,162,57,0.5792996892274445,647.2085954741254,1,14.77853522626637,3.549422276443517,3,1,21.505314341982434
23,1,76.43113371463267,1.933538976858921,204,154,69,1.0823780880050777,191.53439198992868,1,8.922576897643943,3.4064781305949485,3,3,16.913706168886502
19,0,70.11891147069072,1.5275963616209347,180,161,70,1.722895475997901,1012.2937120339132,1,21.537596881980846,2.3640408889029834,4,2,34.5910684259661
13,1,81.25460940604616,1.5037692330284376,166,160,65,1.5541871367508773,523.3508544060983,1,23.856575727953846,2.687998141469538,3,2,49.959638797207475
51,1,66.84352828248926,1.6532951586340585,197,150,62,1.505140598289224,640.5084796310151,0,14.352682804451383,3.1172116032989234,3,3,25.551147603482793
43,1,85.98922146610256,1.6590954202068346,173,143,57,1.425824100684842,1247.862777978653,2,14.851748253365095,3.0622978005394317,3,1,37.64655605207898
13,0,98.13752936324478,1.8437628590439827,161,136,61,0.5897321205889672,504.41061294758384,3,30.15174531295255,3.091453348567503,4,1,35.946660594501466
48,1,133.39532538834828,1.8016686778723816,168,159,51,1.0490884489893353,246.15542588685088,1,10.948572631767496,2.849718114331698,3,1,30.46449414528322
22,1,64.29278591105867,1.6081059785625067,178,160,63,0.8113693747431137,819.2727311255549,1,25.737086331632703,2.8138145573218107,3,2,36.18552580229236
57,1,127.72082615885881,1.4559886339883108,176,138,76,1.0868214291900022,862.5098369916433,0,22.92383848754208,1.6896406180920573,3,3,38.16788239654079
40,1,103.1620782604524,1.7104906740203416,194,121,67,1.251368361161793,1036.8576607515643,3,26.313462310015634,2.4694151601835403,4,2,31.8473984130506
12,1,84.3122205711865,1.8020719840739743,188,166,62,1.4517339466514616,916.5030972802476,1,10.487331089100413,2.064496639922819,3,1,55.26951883643684
40,0,132.4900757463751,1.8542745547650912,160,178,53,0.8960532218289394,713.5807613884094,1,18.289463974645145,2.4127284387351433,4,2,18.84641633460567
48,1,79.51846138021114,1.7121000104022588,179,135,64,0.6350346009965049,1487.2211223073182,0,28.90024528215891,2.5892289675514593,4,3,27.53461981140188
20,1,97.34785244251125,1.6826806281951125,171,171,61,2.106286193611567,681.0663303488708,3,26.237216471040334,3.353354652407059,4,3,16.32915334722135
29,1,75.98341297996564,1.8906755751918274,180,140,69,1.0479579540218995,976.9114256752077,2,19.823839112631248,2.1554807185167006,4,1,27.705666802490306
47,1,61.60207847671405,1.7192254882161981,195,173,72,1.0249621574528671,965.7830650678052,3,26.772500555444175,2.4689288718271847,4,3,22.08621840876748
54,1,80.08056435797847,1.4834081582563188,202,124,69,0.8088046833086986,1397.238103950702,2,5.254655005417716,3.00384027873816,2,2,25.35922929280771
31,1,104.90841999789431,1.6643184192033837,193,121,65,1.2613291692344473,1479.3566036266861,2,23.000315648585932,2.4169751645243736,3,1,26.742339393308896
23,0,102.24679971495374,1.594244036637817,199,144,47,1.071005510190958,925.3178966794584,1,22.705635294819523,2.6037417950498223,2,2,32.13531244720288
30,1,92.45939127951718,1.6904466143488852,192,134,56,1.4591871033423207,940.1908361349573,0,29.51975280833299,2.016989382785827,4,3,18.677588537087402
26,1,44.73146860233108,1.7048361519408637,199,138,45,1.6956788065562425,280.8372516894265,3,35.68700501308441,3.8532988737559983,4,3,20.21414774533584
47,1,58.95819182118501,1.8871499835567027,187,164,68,1.374710275099881,624.4943621489327,3,6.368010176263407,1.6534109341456218,4,2,25.33688011542183
28,1,89.48323076383454,1.9977710561946074,179,142,54,1.2861896110279643,1459.256781329987,3,10.616590773750325,3.7543703901580323,3,2,18.864313822589008
23,1,106.70222935271825,1.8126466346667645,195,151,66,1.307226138207516,371.7430929471893,2,30.66293722957436,3.2204358481841076,3,1,20.583861199590466
29,1,142.89449212484845,1.487836573452337,200,152,61,1.705557477051053,1113.023611174307,1,21.527888203288455,2.8742268747247683,3,2,57.07685973011141
31,1,59.167186328577685,1.582495359655347,185,141,64,1.3835968881615492,626.2634411076723,3,26.111533806979434,3.7785829850721666,4,2,48.86233285697359
21,1,94.63468916830509,1.7677104789718379,184,152,53,1.159968249916993,615.9484569970526,0,24.62353483439419,2.6375185093587312,3,2,40.363094729886505
29,0,83.71647911641399,1.7233369490397075,201,137,71,1.2157510025271567,315.0040280996177,0,27.40297295287606,2.3171162577086464,3,2,24.334935602852397
20,1,52.38854497502024,1.6642602540714342,201,117,66,1.5083210167017493,714.4805715681038,0,21.920748072799814,3.657454705353884,3,2,49.66325245693334
17,1,91.91472800294655,1.5919674712959178,166,161,54,1.1045415709894224,468.7820387160257,1,26.565811792483103,2.615154579393727,3,3,53.64889107133759
16,1,103.92947501593697,1.7825943871059509,198,141,70,1.8590999955735836,702.2712201042536,1,9.336825288627878,3.104679456040406,2,3,42.467585242665955
45,1,78.32791221029913,1.7647588493058783,197,131,64,1.3399391636790223,349.83193516260644,0,25.40443191882613,3.5708042126979413,3,3,46.30347506206434
16,1,80.97134570493746,1.7204003486132038,192,168,65,1.6701246025160636,295.4638097678563,0,35.86076903663588,3.535709695234587,3,3,26.31421814241929
40,1,55.21246117414031,2.061697659523494,195,131,53,2.1889277764510577,246.81361353327145,3,28.569545528398837,2.8817787773879115,4,2,20.59699609773919
9,1,51.0594546496398,1.5070898273366915,176,146,75,2.1651172582256715,998.3306473386998,2,26.516212130108105,1.544085283146885,3,1,43.02238856974018
30,1,61.56482197369296,1.8597816646488388,188,175,70,1.2005783314930398,430.4366658015625,3,4.105523123269224,3.0232310953492263,2,3,25.5249723071294
16,1,104.71288997279679,1.4754320259002431,186,155,62,1.5518740551408643,958.9678821953709,3,28.031851113214756,2.5753111459974294,2,1,14.487643119097473
23,1,94.49770413901444,1.6945272633198734,195,164,63,1.528847808206911,760.5817893934172,2,23.452597617093836,2.9170052013708103,4,2,18.612249583513673
47,1,83.44654110274095,1.6892864042210052,201,148,63,0.5383017510967041,531.8175441422454,1,31.18554045891616,2.871291374647516,4,1,22.337470326878886
33,1,81.7822826565446,1.607912603258916,181,168,70,1.1051202529190642,627.6981090402444,3,29.129402079318854,2.745624798462526,5,3,34.05139621368657
26,1,108.55481616171342,1.8741533463241493,174,152,58,1.1409254788790095,417.3815781033259,3,25.75271177745431,3.3367975805540997,4,1,17.50173222506729
31,0,101.42195031648288,1.6130240825896782,173,124,64,1.2332670280104467,715.1624135396509,3,26.626102490125326,3.5192827444280907,3,2,36.45446901659872
19,1,79.73418512413774,1.5198205337035282,176,148,63,0.7322658471287314,819.9212359430446,1,22.540735455251387,3.5480945392758017,3,2,28.368547226792824
13,1,100.26082941967988,1.642202198613162,189,142,53,1.3215895416917856,262.41243781119806,0,28.50564634969151,3.3150937768425126,4,2,23.112684697955363
26,1,101.72580533680389,1.8248346387447765,165,150,68,2.2086791452542407,385.77810993603407,3,31.1688759762416,2.9710359849942494,3,1,10.867116073499016
59,1,59.96765544106975,1.9193967629924948,190,163,72,1.154055084878213,185.17753269546483,3,25.935560010897227,2.1764167508735697,3,2,25.467269375408268
43,1,95.01073605396965,1.7472043135535809,183,163,73,1.2907727030572158,517.7807327822559,0,25.50440977389491,2.710128784241152,2,2,34.90374554270231
18,1,92.146265581408,1.8014839443016613,181,122,48,1.4617837964927376,669.4977345510122,1,25.14933738992424,3.8996497365227425,2,2,48.52629466703203
46,1,87.0605963474755,1.6123236789484576,171,166,48,0.5913945807332038,947.6175152774543,0,34.14172467915263,3.0082295341658276,3,2,14.027346617982994
31,0,83.08409237102319,1.4821885280412976,192,175,46,0.7604604929553933,570.3935599611084,3,26.490688847372695,2.6517671020332196,3,3,41.66639199867278
27,0,86.26628242086187,1.641941639718882,179,168,65,1.0801652803474198,832.1447419583642,3,28.09828495264336,1.3898622986860343,3,3,55.533004871650014
13,0,79.87420049992463,1.6788887443687566,187,169,65,0.6043841803985704,1031.286656048389,3,10.460009442053902,2.728090560071508,3,2,60.80303073047209
31,1,78.64528717725615,1.5650194719092037,182,140,57,0.9852739450125214,458.2134920087371,1,22.152873845137766,2.0129423627145524,6,3,22.816476109438597
54,0,94.90312385443214,1.504999495107184,203,116,47,2.080896562477326,899.3495618311784,0,22.23138220327712,2.1269022607955597,4,3,34.592184926364396
44,1,124.2199178120325,1.7513865797220431,193,121,61,1.3242081243059414,771.687491003502,3,16.99938102856313,2.584640443609867,2,2,52.86807186946931
16,1,63.246026642164495,1.8388812569701263,192,162,59,0.6836329850857562,866.580215749468,1,14.796508869451358,2.810439779672616,3,2,9.814431874902988
14,0,99.47447273354373,1.8541121073095037,200,140,68,2.018771484218163,720.5694193707459,3,23.370700663150807,2.3372322445026046,3,3,25.82746021976188
42,0,108.2392967929459,1.8975868356238068,168,116,61,1.7155081547778146,1222.449970086604,2,24.417181827017387,3.6883169627191976,3,2,20.278712638623375
51,1,77.33016100650568,1.6722261561280698,167,156,45,2.2195775982762918,1233.1840270014663,1,25.629551670485082,3.1415416251117807,3,2,22.93333056501267
24,1,69.61358504465468,1.6128695446632024,180,130,64,1.4500196856026943,619.5240619913757,1,26.56170824098018,3.020776022496874,4,2,16.42487435710431
30,1,77.70375407673461,2.0713552272310802,178,139,76,1.6041941632658954,605.8756900515207,3,21.72841177366733,2.2735425077909133,3,3,14.104385126031062
47,1,71.31504570419725,1.7887333392181413,191,171,75,0.6014305261575754,567.1928280763658,1,22.912293391333897,2.682382912433484,2,3,37.63310760462168
37,1,94.89533971468711,1.724397633789178,203,128,71,1.4705872060584875,359.18258898245546,2,24.36591243574987,1.744641105141727,3,3,34.87593534021667
13,1,69.79965486270775,1.777897657374903,197,146,67,1.0172399320670802,749.6404992544517,0,35.15372875939589,1.721550621269515,3,3,18.767638708110425
31,1,82.2204415277208,1.5144619414448186,157,169,66,1.2895368157567015,625.9609371436062,0,24.87906873810647,3.347329812476117,3,3,24.688850108513567
12,0,50.37194518520699,1.7919450029067745,184,146,73,0.8261785189469218,1016.7896980671355,1,30.42238068247052,2.9153022661124135,3,3,57.333637340383994
35,1,96.09052344783426,1.5739483965400325,179,178,61,2.060037776457203,567.5612000398219,2,29.72523777383072,2.316670764920417,2,3,13.626083123621262
19,1,104.64412068079993,1.7951735956669854,180,157,71,1.4805240337197199,955.4382920241083,0,15.583488128848504,2.41383715236792,2,3,27.21906865673865
20,0,78.3631380339844,1.5939695850447364,188,155,66,0.7682402198404179,832.9606739737242,0,31.566094539518634,3.3380910012562266,2,3,38.16523019475289
54,1,107.25342940401427,1.7148477501616821,184,143,61,0.7657985378378073,837.835774789786,1,30.419600579824543,3.8845125601444193,3,2,28.49058744193559
18,0,87.2120913746515,1.8771300947877751,180,117,48,1.9109975394381518,484.5955646577683,1,10.556988646583333,3.206872676807202,4,3,42.35646669293607
53,1,55.72385173577904,1.6073731527067638,201,156,72,0.910098451469406,191.84577228302356,1,17.357804779188097,3.393123283359697,5,3,22.982105584841932
22,1,145.44486678170287,1.7846879637296333,167,153,61,1.1067398337618712,522.5169666492293,1,16.119490250597263,2.8646266539901957,3,2,32.13583493026849
18,0,92.06785511511991,1.6253410237271273,196,168,73,1.4121840383811028,729.575015423835,3,26.002925793730245,2.7476406500911783,2,2,31.85410559986085
50,1,88.54173103253433,1.7091974064404067,171,150,58,0.9703377553913799,484.2881625410887,1,26.876105031120503,2.3250125193791735,3,2,32.02609566514044
40,1,30.858809467696947,1.4115111012050716,188,121,66,0.94397020902632,813.06209625951,2,24.459037717585407,2.6025104338412506,4,3,51.94320478995816
34,0,66.65140312920735,1.9152142919550599,201,122,59,1.8487565609513534,922.5014529047041,2,21.016736985043913,3.082319611673955,4,1,19.19336414461874
55,1,96.96558318780954,1.7716435918277222,205,135,58,1.0479028736400662,464.1831066441956,0,18.206114150834264,2.178601792003897,2,2,11.358333450827516
24,1,90.02083340315247,1.9134892947463127,184,129,55,2.1831569982884904,433.1851651203862,1,24.254507906445614,2.075870050916928,3,3,14.264289611809211
22,1,60.22296652557302,1.929318241109665,174,139,74,1.5734011119979874,626.6764882706068,3,14.685137060940239,1.6425892086542846,3,3,23.867669457510427
54,1,83.81940014831684,1.6775855569613851,183,166,73,1.2713415431677528,378.1820451955944,2,19.680269151675994,2.7677191240028995,5,3,38.43321394280634
15,1,82.90408058109463,1.6683275368963404,185,136,62,1.3717622912942955,235.9820217845293,1,17.06224410486267,3.0440175661966564,3,1,15.72808386568716
